Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Etiqueta de entrega,Entrega compilada:Fecha de entrega,Entrega compilada:Open Contracting ID,compiledRelease/publishedDate,Entrega compilada:Tipo de inicio,Entrega compilada:Comprador:ID de Organización,Entrega compilada:Comprador:Nombre de la Organización,Entrega compilada:Planeación:Presupuesto:Fuente del Presupuesto,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Título de la licitación,Entrega compilada:Licitación:Descripción de la licitación,Entrega compilada:Licitación:Entidad contratante:ID de Organización,Entrega compilada:Licitación:Entidad contratante:Nombre de la Organización,compiledRelease/tender/datePublished,Entrega compilada:Licitación:Método de contratación,Entrega compilada:Licitación:Detalles del método de contratación,Entrega compilada:Licitación:Categoría principal de contratación,Entrega compilada:Licitación:Categorías adicionales de contratación,Entrega compilada:Licitación:Valor:Monto,Entrega compilada:Licitación:Valor:Moneda,Entrega compilada:Licitación:Valor:Nombre de Moneda,compiledRelease/tender/value/amount_PEN,Entrega compilada:Licitación:Periodo de licitación:Fecha de inicio,Entrega compilada:Licitación:Periodo de licitación:Fecha de fin,Entrega compilada:Licitación:Número de licitantes,Entrega compilada:Licitación:Información Protegida,Entrega compilada:Segmentación:ID,Entrega compilada:Segmentación:Criterio,Entrega compilada:Planeación:Presupuesto:Monto:Monto,Entrega compilada:Planeación:Presupuesto:Monto:Moneda,Entrega compilada:Planeación:Presupuesto:Monto:Nombre de Moneda,Entrega compilada:Licitación:Periodo de consulta:Fecha de inicio,Entrega compilada:Licitación:Periodo de consulta:Fecha de fin,Entrega compilada:Licitación:Periodo de consulta:Duración (días),Entrega compilada:Planeación:Presupuesto:Título del Proyecto,Entrega compilada:Planeación:Presupuesto:Identificador de proyecto
ocds-dgv273-seacev3-2026-1234-1,ocds-dgv273-seacev3-2026-1234-1-2026-09-23T10:16:56.688458-05:00,compiled,2026-09-23T10:16:56.688445-05:00,ocds-dgv273-seacev3-2026-1234-1,2026-09-23T10:16:56.688463-05:00,tender,PE-CONSUCODE-1234,MUNICIPALIDAD DISTRITAL DE CHILIA,Fondos Públicos,1184914,SIE-SIE-1-2026-MDCH/DEC-1,ADQUISICION DE CUMBUSTIBLE DIESEL B5-S50 UV PARA LAS MAQUINARIAS Y MOVILIDADES DE LA MUNICIPALIDAD DISTRITAL DE CHILLIA - PROVINCIA DE PATAZ - DEPARTAMENTO DE LA LIBERTAD EN EL AÑO 2026,PE-CONSUCODE-1234,MUNICIPALIDAD DISTRITAL DE CHILIA,2026-01-20T23:50:00-05:00,open,Subasta Inversa Electrónica,goods,goods,437376.0,PEN,Soles,437376.0,2026-01-20T00:00:00-05:00,2026-01-20T00:00:00-05:00,4,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,437375.99999999994,PEN,Soles,,,,,
ocds-dgv273-seacev3-1214329,ocds-dgv273-seacev3-1214329-2026-09-18T10:23:18.446848-05:00,compiled,2026-09-18T10:23:18.446834-05:00,ocds-dgv273-seacev3-1214329,2026-09-18T10:23:18.446853-05:00,tender,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,Fondos Públicos,1214329,RES-PROC-6-2026-JNE-1,SERVICIO DE ALQUILER DE INMUEBLE PARA LA OFICINA DEL JURADO ELECTORAL ESPECIAL DE CHICLAYO EN EL MARCO DE LAS ELECCIONES REGIONALES Y MUNICIPALES 2026,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,2026-05-12T17:30:00-05:00,open,Regímen Especial,services,services,75900.0,PEN,Soles,75900.0,2026-01-16T00:00:00-05:00,2026-01-16T00:00:00-05:00,2,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,75900.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1215414,ocds-dgv273-seacev3-1215414-2026-09-18T10:23:18.304024-05:00,compiled,2026-09-18T10:23:18.304012-05:00,ocds-dgv273-seacev3-1215414,2026-09-18T10:23:18.304030-05:00,tender,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,Fondos Públicos,1215414,RES-PROC-16-2026-JNE-1,SERVICIO DE ALQUILER DE INMUEBLE PARA LA OFICINA DEL JURADO ELECTORAL ESPECIAL DE HUAMANGA EN EL MARCO DE LAS ELECCIONES REGIONALES Y MUNICIPALES 2026,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,2026-05-14T14:52:00-05:00,open,Regímen Especial,services,services,99000.0,PEN,Soles,99000.0,2026-01-19T00:00:00-05:00,2026-01-19T00:00:00-05:00,1,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,99000.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1215821,ocds-dgv273-seacev3-1215821-2026-09-18T10:23:18.125939-05:00,compiled,2026-09-18T10:23:18.125926-05:00,ocds-dgv273-seacev3-1215821,2026-09-18T10:23:18.125945-05:00,tender,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,Fondos Públicos,1215821,RES-PROC-25-2026-JNE-1,SERVICIO DE ALQUILER DE INMUEBLE PARA LA OFICINA DEL JURADO ELECTORAL ESPECIAL DE ICA EN EL MARCO DE LAS ELECCIONES REGIONALES Y MUNICIPALES 2026,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,2026-05-15T11:26:00-05:00,open,Regímen Especial,services,services,70633.33,PEN,Soles,70633.33,2026-01-27T00:00:00-05:00,2026-01-27T00:00:00-05:00,1,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,70633.33,PEN,Soles,,,,,
ocds-dgv273-seacev3-1214536,ocds-dgv273-seacev3-1214536-2026-09-18T10:23:18.071333-05:00,compiled,2026-09-18T10:23:18.071319-05:00,ocds-dgv273-seacev3-1214536,2026-09-18T10:23:18.071338-05:00,tender,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,Fondos Públicos,1214536,RES-PROC-5-2026-JNE-1,SERVICIO DE ALQUILER DE INMUEBLE PARA LA OFICINA DEL JURADO ELECTORAL ESPECIAL DE TACNA EN EL MARCO DE LAS ELECCIONES REGIONALES Y MUNICIPALES 2026,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,2026-05-12T17:24:00-05:00,open,Regímen Especial,services,services,116600.0,PEN,Soles,116600.0,2026-01-16T00:00:00-05:00,2026-01-16T00:00:00-05:00,1,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,116600.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1215437,ocds-dgv273-seacev3-1215437-2026-09-18T10:23:07.544026-05:00,compiled,2026-09-18T10:23:07.544013-05:00,ocds-dgv273-seacev3-1215437,2026-09-18T10:23:07.544031-05:00,tender,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,Fondos Públicos,1215437,RES-PROC-18-2026-JNE-1,SERVICIO DE ALQUILER DE INMUEBLE PARA LA OFICINA DEL JURADO ELECTORAL ESPECIAL DE MOYOBAMBA EN EL MARCO DE LAS ELECCIONES REGIONALES Y MUNICIPALES 2026,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,2026-05-14T15:18:00-05:00,open,Regímen Especial,services,services,99000.0,PEN,Soles,99000.0,2026-01-20T00:00:00-05:00,2026-01-20T00:00:00-05:00,1,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,99000.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1215341,ocds-dgv273-seacev3-1215341-2026-09-18T10:23:07.333917-05:00,compiled,2026-09-18T10:23:07.333903-05:00,ocds-dgv273-seacev3-1215341,2026-09-18T10:23:07.333923-05:00,tender,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,Fondos Públicos,1215341,RES-PROC-13-2026-JNE-1,SERVICIO DE ALQUILER DE INMUEBLE PARA LA OFICINA DEL JURADO ELECTORAL ESPECIAL DE HUAURA EN EL MARCO DE LAS ELECCIONES REGIONALES Y MUNICIPALES 2026,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,2026-05-14T14:26:00-05:00,open,Regímen Especial,services,services,85800.0,PEN,Soles,85800.0,2026-01-19T00:00:00-05:00,2026-01-19T00:00:00-05:00,1,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,85800.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1214501,ocds-dgv273-seacev3-1214501-2026-09-18T10:23:07.237159-05:00,compiled,2026-09-18T10:23:07.237146-05:00,ocds-dgv273-seacev3-1214501,2026-09-18T10:23:07.237165-05:00,tender,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,Fondos Públicos,1214501,RES-PROC-2-2026-JNE-1,SERVICIO DE ALQUILER DE INMUEBLE PARA LA OFICINA DEL JURADO ELECTORAL ESPECIAL DE CORONEL PORTILLO EN EL MARCO DE LAS ELECCIONES REGIONALES Y MUNICIPALES 2026,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,2026-05-12T16:42:00-05:00,open,Regímen Especial,services,services,99000.0,PEN,Soles,99000.0,2026-01-16T00:00:00-05:00,2026-01-16T00:00:00-05:00,1,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,99000.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1214573,ocds-dgv273-seacev3-1214573-2026-09-18T10:23:07.223408-05:00,compiled,2026-09-18T10:23:07.223396-05:00,ocds-dgv273-seacev3-1214573,2026-09-18T10:23:07.223414-05:00,tender,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,Fondos Públicos,1214573,RES-PROC-8-2026-JNE-1,SERVICIO DE ALQUILER DE INMUEBLE PARA LA OFICINA DEL JURADO ELECTORAL ESPECIAL DE LIMA CENTRO ¿ JESÚS MARÍA EN EL MARCO DE LAS ELECCIONES REGIONALES Y MUNICIPALES 2026,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,2026-05-12T17:44:00-05:00,open,Regímen Especial,services,services,137500.0,PEN,Soles,137500.0,2026-01-16T00:00:00-05:00,2026-01-16T00:00:00-05:00,1,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,137500.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1215442,ocds-dgv273-seacev3-1215442-2026-09-18T10:23:07.191195-05:00,compiled,2026-09-18T10:23:07.191181-05:00,ocds-dgv273-seacev3-1215442,2026-09-18T10:23:07.191200-05:00,tender,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,Fondos Públicos,1215442,RES-PROC-17-2026-JNE-1,SERVICIO DE ALQUILER DE INMUEBLE PARA LA OFICINA DEL JURADO ELECTORAL ESPECIAL DE HUANCAVELICA EN EL MARCO DE LAS ELECCIONES REGIONALES Y MUNICIPALES 2026,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,2026-05-14T15:06:00-05:00,open,Regímen Especial,services,services,88000.0,PEN,Soles,88000.0,2026-01-20T00:00:00-05:00,2026-01-20T00:00:00-05:00,1,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,88000.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1214765,ocds-dgv273-seacev3-1214765-2026-09-18T10:22:56.230820-05:00,compiled,2026-09-18T10:22:56.230807-05:00,ocds-dgv273-seacev3-1214765,2026-09-18T10:22:56.230825-05:00,tender,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,Fondos Públicos,1214765,RES-PROC-11-2026-JNE-1,SERVICIO DE ALQUILER DE INMUEBLE PARA LA OFICINA DEL JURADO ELECTORAL ESPECIAL DE CHACHAPOYAS EN EL MARCO DE LAS ELECCIONES REGIONALES Y MUNICIPALES 2026,PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,2026-05-13T10:41:00-05:00,open,Regímen Especial,services,services,66000.0,PEN,Soles,66000.0,2026-01-19T00:00:00-05:00,2026-01-19T00:00:00-05:00,1,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,66000.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1185714,ocds-dgv273-seacev3-1185714-2026-09-18T10:22:55.269747-05:00,compiled,2026-09-18T10:22:55.269734-05:00,ocds-dgv273-seacev3-1185714,2026-09-18T10:22:55.269753-05:00,tender,PE-CONSUCODE-1784,MUNICIPALIDAD PROVINCIAL DE RIOJA,Fondos Públicos,1185714,SIE-SIE-4-2025-MPR/OC-2,SUMINISTRO DE COMBUSTIBLE PARA LAS UNIDADES VEHICULARES Y MAQUINARIA PESADA DE LA MUNICIPALIDAD PROVINCIAL DE RIOJA,PE-CONSUCODE-1784,MUNICIPALIDAD PROVINCIAL DE RIOJA,2026-01-29T11:27:00-05:00,open,Subasta Inversa Electrónica,goods,goods,1400000.0,PEN,Soles,1400000.0,2026-01-29T00:00:00-05:00,2026-01-29T00:00:00-05:00,3,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,2800000.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1185683,ocds-dgv273-seacev3-1185683-2026-09-18T10:22:55.214873-05:00,compiled,2026-09-18T10:22:55.214860-05:00,ocds-dgv273-seacev3-1185683,2026-09-18T10:22:55.214878-05:00,tender,PE-CONSUCODE-1588,MUNICIPALIDAD DISTRITAL DE EL TALLAN,Fondos Públicos,1185683,SIE-SIE-1-2026-MDET/DEC-1,ADQUISICION DE COMBUSTIBLE PARA UNIDADES VEHICULARES PARA LA MUNICIPALIDAD DISTRITAL DE EL TALLÁN,PE-CONSUCODE-1588,MUNICIPALIDAD DISTRITAL DE EL TALLAN,2026-01-28T22:10:00-05:00,open,Subasta Inversa Electrónica,goods,goods,302363.3,PEN,Soles,302363.3,2026-01-28T00:00:00-05:00,2026-01-28T00:00:00-05:00,4,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,302363.3,PEN,Soles,,,,,
